City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Saskylakh,RU,71.9167,114.0833,11.66,93,100,5.88,overcast clouds
314,Severodvinsk,RU,64.5635,39.8302,24.12,88,16,5.08,few clouds
315,Sosnogorsk,RU,63.6023,53.8817,22.03,77,95,9.75,overcast clouds
316,Coquimbo,CL,-29.9533,-71.3436,55.13,100,75,4.61,broken clouds
317,Agadez,NE,19.75,10.25,76.19,13,6,5.79,clear sky
318,Port Augusta,AU,-32.5,137.7667,71.29,45,0,8.46,clear sky
319,Port Blair,IN,11.6667,92.75,82.44,74,40,3.44,scattered clouds
320,Morros,BR,-9.4467,-46.3003,76.19,70,75,3.29,broken clouds
321,Moyale,KE,3.5167,39.0584,65.79,96,98,6.71,light rain
322,Minab,IR,27.1467,57.0801,77.88,58,5,1.99,clear sky
323,Opuwo,NA,-18.0607,13.84,62.46,43,76,7.29,broken clouds
324,Sao Filipe,CV,14.8961,-24.4956,72.5,79,70,3.09,broken clouds
325,Burley,US,42.5357,-113.7928,51.76,41,0,8.05,clear sky
326,Paraiso,CR,9.8383,-83.8656,65.41,95,92,1.79,overcast clouds
327,Bubaque,GW,11.2833,-15.8333,75.24,75,76,18.61,broken clouds
328,Komsomolsk,UA,49.0097,33.6455,38.61,87,58,10.33,broken clouds
329,Rafsanjan,IR,30.4067,55.9939,70.5,9,78,2.04,broken clouds
330,Aberdeen,GB,57.1437,-2.0981,40.66,100,100,2.3,mist
331,Russell,US,32.3502,-85.1999,63.63,83,0,0.0,clear sky
332,Chicama,PE,-7.8447,-79.1469,63.14,80,66,5.73,broken clouds
333,Petropavlovka,RU,50.6114,105.3196,42.08,32,100,7.23,overcast clouds
334,Gobabis,NA,-22.45,18.9667,54.28,67,98,9.75,overcast clouds
335,Ulaangom,MN,49.9811,92.0667,44.74,31,8,4.54,clear sky
336,Ariquemes,BR,-9.9133,-63.0408,72.86,98,99,1.23,overcast clouds
337,Koygorodok,RU,60.445,50.9968,26.22,82,11,7.54,few clouds
338,Ulladulla,AU,-35.35,150.4667,60.89,79,100,7.81,overcast clouds
339,Mahebourg,MU,-20.4081,57.7,76.24,94,40,3.44,scattered clouds
340,Burgeo,CA,47.6167,-57.6152,36.75,94,94,8.37,overcast clouds
341,Mozarlandia,BR,-14.7447,-50.5706,73.51,54,1,6.33,clear sky
342,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,69,64,5.73,broken clouds
343,Kavaratti,IN,10.5669,72.642,84.61,73,48,10.47,scattered clouds
344,Clyde River,CA,70.4692,-68.5914,1.63,78,100,6.91,overcast clouds
345,Palmer,US,42.1584,-72.3287,42.24,74,20,0.0,few clouds
346,Sechura,PE,-5.5569,-80.8222,69.22,77,74,15.93,broken clouds
