City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Gushikawa,26.3544,127.8686,72.63,68,100,6.58,JP,2022-04-20 00:02:06
232,The Valley,18.217,-63.0578,78.1,68,3,19.86,AI,2022-04-20 00:02:08
233,Sabang,5.8933,95.3214,82.99,74,100,11.77,ID,2022-04-20 00:02:10
234,Kavaratti,10.5669,72.642,84.61,76,19,12.33,IN,2022-04-20 00:02:11
235,Hervey Bay,-25.2986,152.8535,75.65,69,0,1.92,AU,2022-04-20 00:02:11
236,Arvin,35.2091,-118.8284,75.85,28,21,17.54,US,2022-04-20 00:02:13
237,Tura,25.5198,90.2201,67.35,92,91,2.04,IN,2022-04-20 00:02:13
238,Hambantota,6.1241,81.1185,79.03,85,99,7.49,LK,2022-04-20 00:02:14
239,Vila,42.0304,-8.1588,38.7,76,74,7.07,PT,2022-04-20 00:02:14
240,Richards Bay,-28.783,32.0377,61.99,85,0,3.53,ZA,2022-04-20 00:02:19
241,Caruray,10.3094,119.0128,81.77,80,98,7.52,PH,2022-04-20 00:02:20
242,Cockburn Town,21.4612,-71.1419,79.05,81,34,10.16,TC,2022-04-20 00:02:21
243,Chase,50.8165,-119.6857,51.15,72,100,4.43,CA,2022-04-20 00:00:18
244,Colares,38.7992,-9.4469,55.76,63,66,35.99,PT,2022-04-20 00:02:21
245,Saint-Agapit,46.5629,-71.4352,36.36,95,100,15.52,CA,2022-04-20 00:02:23
246,Cayenne,4.9333,-52.3333,76.08,1,75,2.3,GF,2022-04-20 00:01:52
247,Santa Cruz,-17.8,-63.1667,71.76,69,1,5.93,BO,2022-04-20 00:01:03
248,Parkes,-33.1333,148.1833,60.35,71,54,1.01,AU,2022-04-20 00:02:24
249,Kuzovatovo,53.5468,47.6866,51.01,79,100,5.5,RU,2022-04-20 00:02:25
250,Quelimane,-17.8786,36.8883,70.56,91,80,7.38,MZ,2022-04-20 00:02:26
251,Lar,26.2039,83.9717,80.29,53,6,8.43,IN,2022-04-20 00:02:26
252,Eyemouth,55.8713,-2.0901,42.24,80,100,4.92,GB,2022-04-20 00:02:27
253,Moron,-34.6534,-58.6198,67.93,84,92,6.2,AR,2022-04-20 00:02:28
254,Victoria,22.2855,114.1577,69.24,86,100,5.01,HK,2022-04-19 23:57:49
255,Hartselle,34.4434,-86.9353,56.88,65,0,2.82,US,2022-04-20 00:02:31
256,Coquimbo,-29.9533,-71.3436,58.73,72,0,6.91,CL,2022-04-19 23:59:16
257,Saint Anthony,45.0205,-93.218,45.99,43,100,12.66,US,2022-04-20 00:02:32
258,Road Town,18.4167,-64.6167,78.39,70,17,18.3,VG,2022-04-20 00:02:32
259,Pisco,-13.7,-76.2167,65.01,90,43,5.01,PE,2022-04-20 00:02:34
260,Kiama,-34.6833,150.8667,71.38,61,9,9.13,AU,2022-04-20 00:02:34
261,Somerset East,-32.7217,25.588,59.86,64,0,4.88,ZA,2022-04-20 00:02:35
262,Mariental,-24.6333,17.9667,63.59,37,0,11.43,NA,2022-04-20 00:02:35
263,Kupang,-10.1667,123.5833,78.78,78,95,3.78,ID,2022-04-20 00:02:36
