City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
576,Calvinia,ZA,64.0,broken clouds,-31.4707,19.776,Die Lemoenhuis
577,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
580,Iwanai,JP,66.13,clear sky,42.9744,140.5089,いわない高原ホテル
581,Rome,US,64.47,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
590,Colares,PT,56.28,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
594,Cajati,BR,64.08,broken clouds,-24.7361,-48.1228,Lanchonete e Hotel Cortesia
595,Dir,PK,60.33,overcast clouds,35.2058,71.8756,Sindh Hotal Dir
613,Zunyi,CN,68.81,overcast clouds,27.6867,106.9072,Bishiluo Hostel
618,San Vicente,AR,60.15,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
631,Richards Bay,ZA,61.75,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
638,Saldanha,ZA,59.02,clear sky,-33.0117,17.9442,Blue Bay Lodge
647,Kasama,ZM,59.2,overcast clouds,-10.2129,31.1808,Kalebalika Cottages
650,Margate,GB,50.31,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
660,Hohhot,CN,55.69,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
677,Hutchinson,US,63.03,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
680,Constitucion,CL,51.03,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
681,Novosergiyevka,RU,54.91,overcast clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
682,Erzin,TR,54.36,scattered clouds,36.9559,36.2,Artemis Otel
693,Oudtshoorn,ZA,59.36,overcast clouds,-33.5907,22.2014,Earthbound Guest House
694,Sayyan,YE,57.76,clear sky,15.1718,44.3244,ملاطف ابوحورية
695,Boende,CD,69.85,overcast clouds,-0.2167,20.8667,
696,Newport Beach,US,61.34,few clouds,33.6189,-117.9289,"Holiday Inn Express Newport Beach, an IHG Hotel"
700,Byumba,RW,53.8,overcast clouds,-1.5763,30.0675,RGC206 [AIRTEL]
701,Chlorakas,CY,50.88,scattered clouds,34.8042,32.4083,Elysium Hotel
710,Ivaipora,BR,59.86,clear sky,-24.2478,-51.6847,Vilhar Palace Hotel
